Fecha;Abrir;Máx.;Mín.;Cierre;Cierre ajus
29/12/2023;1,1068;1,1086;1,1043;1,1068;1,1068
28/12/2023;1,1109;1,1139;1,1071;1,1109;1,1109
27/12/2023;1,1043;1,1122;1,1029;1,1043;1,1043
26/12/2023;1,102;1,104;1,101;1,102;1,102
25/12/2023;1,1027;1,1042;1,1;1,1027;1,1027
22/12/2023;1,1006;1,1041;1,0994;1,1006;1,1006
21/12/2023;1,0946;1,1;1,0936;1,0946;1,0946
20/12/2023;1,0981;1,098;1,0936;1,0981;1,0981
19/12/2023;1,0924;1,0988;1,0916;1,0924;1,0924
18/12/2023;1,0895;1,093;1,0895;1,0895;1,0895
15/12/2023;1,0994;1,1006;1,0902;1,0994;1,0994
14/12/2023;1,0886;1,1004;1,088;1,0886;1,0886
13/12/2023;1,0799;1,0808;1,0774;1,0799;1,0799
12/12/2023;1,0767;1,0822;1,0762;1,0767;1,0767
11/12/2023;1,0766;1,0779;1,0743;1,0766;1,0766
08/12/2023;1,0792;1,0801;1,0731;1,0792;1,0792
07/12/2023;1,0767;1,0797;1,0758;1,0767;1,0767
06/12/2023;1,0794;1,0804;1,0773;1,0794;1,0794
05/12/2023;1,0838;1,0848;1,0783;1,0838;1,0838
04/12/2023;1,0888;1,0887;1,0806;1,0888;1,0888
01/12/2023;1,0892;1,0913;1,0832;1,0892;1,0892
30/11/2023;1,0974;1,0985;1,0895;1,0974;1,0974
29/11/2023;1,1006;1,1017;1,0961;1,1006;1,1006
28/11/2023;1,0958;1,1007;1,0935;1,0958;1,0958
27/11/2023;1,094;1,0959;1,0926;1,094;1,094
24/11/2023;1,0906;1,0944;1,0896;1,0906;1,0906
23/11/2023;1,0891;1,0927;1,0888;1,0891;1,0891
22/11/2023;1,0918;1,0923;1,0855;1,0918;1,0918
21/11/2023;1,0946;1,0967;1,0923;1,0946;1,0946
20/11/2023;1,0907;1,0945;1,0898;1,0907;1,0907
17/11/2023;1,0854;1,0892;1,0825;1,0854;1,0854
