Date;Euribor Type
2023-12-29;3,51%
2023-12-28;3,54%
2023-12-27;3,55%
2023-12-22;3,58%
2023-12-21;3,58%
2023-12-20;3,60%
2023-12-19;3,64%
2023-12-18;3,61%
2023-12-15;3,64%
2023-12-14;3,72%
2023-12-13;3,76%
2023-12-12;3,75%
2023-12-11;3,75%
2023-12-08;3,73%
2023-12-07;3,73%
2023-12-06;3,73%
2023-12-05;3,79%
2023-12-04;3,79%
2023-12-01;3,90%
2023-11-30;3,93%
2023-11-29;3,98%
2023-11-28;4,02%
2023-11-27;4,06%
2023-11-30;3,93%
2023-11-29;3,98%
2023-11-28;4,02%
2023-11-27;4,06%
2023-11-24;4,06%
2023-11-23;4,03%
2023-11-22;4,02%
2023-11-21;4,02%
2023-11-20;4,02%
2023-11-17;3,99%
2023-11-16;4,03%
2023-11-15;4,03%
2023-11-14;4,06%
2023-11-13;4,04%
2023-11-10;4,04%
2023-11-09;4,03%
2023-11-08;4,03%
2023-11-07;4,03%
2023-11-06;4,02%
2023-11-03;4,00%
2023-11-02;4,01%
2023-11-01;4,04%
2023-10-31;4,05%
2023-10-30;4,08%
2023-10-27;4,10%
2023-10-26;4,13%
2023-10-25;4,12%
2023-10-24;4,15%
2023-10-23;4,15%
2023-10-20;4,19%
2023-10-19;4,18%
2023-10-18;4,20%
2023-10-17;4,16%
2023-10-16;4,17%
2023-10-13;4,17%
2023-10-12;4,16%
2023-10-11;4,15%
2023-10-10;4,16%
2023-10-09;4,19%
2023-10-06;4,19%
2023-10-05;4,21%
2023-10-04;4,21%
2023-10-03;4,21%
2023-10-02;4,20%
2023-09-29;4,23%
2023-09-28;4,22%
2023-09-27;4,20%
2023-09-26;4,20%
2023-09-25;4,21%
2023-09-22;4,21%
2023-09-21;4,22%
2023-09-20;4,22%
2023-09-19;4,22%
2023-09-18;4,19%
2023-09-15;4,17%
2023-09-14;4,16%
2023-09-13;4,11%
2023-09-12;4,10%
2023-09-11;4,08%
2023-09-08;4,09%
2023-09-07;4,08%
2023-09-06;4,05%
2023-09-05;4,07%
2023-09-04;4,05%
