Fecha;Abrir;Máx.;Mín.;Cierre;Cierre ajus;Volumen
29/12/2023;2068;2068,9;2062,1;2062,4;2062,4;47
28/12/2023;2081,6;2087,3;2066,5;2073,9;2073,9;338
27/12/2023;2067,3;2081,9;2064,8;2081,9;2081,9;586
26/12/2023;2060;2060,8;2054,2;2058,2;2058,2;64
22/12/2023;2055,7;2068,7;2052,2;2057,1;2057,1;202
21/12/2023;2035,8;2044,5;2033;2039,1;2039,1;228
20/12/2023;2037,1;2037,1;2030,3;2034,5;2034,5;258
19/12/2023;2025,2;2042,7;2025,2;2038,4;2038,4;498
18/12/2023;2024,3;2032,8;2024;2026,3;2026,3;100
15/12/2023;2032,6;2043,4;2018,3;2021,1;2021,1;261
14/12/2023;2024,7;2040,1;2024,3;2030,2;2030,2;236
13/12/2023;1978,5;2024,8;1975;1982,3;1982,3;2252
12/12/2023;1984,2;1994,2;1977,8;1977,8;1977,8;95
11/12/2023;2004,1;2004,2;1977,2;1978;1978;651
08/12/2023;2031,7;2033,1;1995;1998,3;1998,3;449
07/12/2023;2029,2;2034,9;2024;2029,9;2029,9;67
06/12/2023;2019,9;2035,8;2019;2030,5;2030,5;417
05/12/2023;2035,1;2037;2010,2;2018,5;2018,5;289
04/12/2023;2075,3;2130,2;2021;2024,1;2024,1;1071
01/12/2023;2038,3;2073,2;2036;2071;2071;614
30/11/2023;2046,1;2047,1;2033,1;2038,1;2038,1;2506
29/11/2023;2041,7;2052,1;2036;2047,1;2047,1;15.290
28/11/2023;2040,6;2042,7;2039,7;2039,7;2039,7;174.665
27/11/2023;2011,7;2011,8;2011,7;2011,8;2011,8;228
24/11/2023;1991,9;2002,2;1991,5;2002,2;2002,2;63
23/11/2023;1991,9;1991,9;1991,5;1991,5;1991,5;6075
22/11/2023;1999,1;1999,4;1991;1991,4;1991,4;6075
21/11/2023;1990,7;2005,5;1988,5;1999,3;1999,3;16
20/11/2023;1978,7;1979,4;1969,7;1977,7;1977,7;182
17/11/2023;1982,5;1984;1979,8;1981,6;1981,6;32
16/11/2023;1965,3;1983,9;1964,6;1983,9;1983,9;39
15/11/2023;1962,8;1962,8;1960;1960,1;1960,1;6
14/11/2023;1965,8;1965,8;1961,8;1961,8;1961,8;2
